City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
543,nicoya,10.1483,-85.452,27.29,71,94,2.98,CR,1681787613
544,akrehamn,59.2667,5.1833,6.9,81,12,6.91,NO,1681787614
545,san andres,12.5847,-81.7006,27.01,74,20,11.5,CO,1681787614
546,aguada de pasajeros,22.385,-80.8508,23.27,77,91,6.44,CU,1681787614
547,bhadasar,28.2833,74.3167,32.04,23,1,16.67,IN,1681787614
548,brady,31.1352,-99.3351,21.31,26,40,10.36,US,1681787614
549,luba,3.4568,8.5547,27.4,81,94,2.44,GQ,1681787614
550,uusikaupunki,60.8004,21.4084,1.78,93,2,10.22,FI,1681787615
551,shalqar,47.8333,59.6,4.13,59,11,7.23,KZ,1681787615
552,moranbah,-22.0016,148.0466,26.66,56,100,15.23,AU,1681787473
553,santa vitoria do palmar,-33.5189,-53.3681,12.37,75,19,3.29,BR,1681787615
554,thinadhoo,0.5333,72.9333,28.36,68,60,2.95,MV,1681787615
555,fonte boa,-2.4959,-66.2662,22.99,95,100,2.17,BR,1681787616
556,kuandian,40.7286,124.7847,16.42,41,2,8.55,CN,1681787616
